"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-b3f056e4836746c29264fa70cc37b838","AccessRelationship","","","id-718806","id-469105",""
"id-a5395822bf11487a9482bbeb4c1acd74","AccessRelationship","","","id-718823","id-722942",""
"id-566040e04a194c8bbd11d0b0f0b1533c","AccessRelationship","","","id-736407","id-736017",""
"id-f6297a2495c64c01b984ce1f8de40d2c","AccessRelationship","","","id-718826","id-736128",""
"id-4d4e9564f213441d9b27d0aad6f62aed","AccessRelationship","","","id-736302","id-736136",""
"id-f4c1dd1fef584fe0bdd48abe0768fc44","AccessRelationship","","","id-718802","id-479419",""
"id-5ba2196468184fdaa737ee1247eb62e0","AccessRelationship","","","id-736403","id-736023",""
"id-1cb9ad141b1a4a05a688c66d5a3bf6b7","AccessRelationship","","","id-718710","id-723068",""
"id-1188e9e2e0754d5c83f487da51c28db1","AccessRelationship","","","id-711280","id-729611",""
"id-f127f6385c684a0ba303b26a7508eb66","AccessRelationship","","","id-736398","id-736037",""
"id-584ac61ffe1b478c9292e1fe4f7879ed","AccessRelationship","","","id-736295","id-736098",""
"id-d91a72a09ffb4255845e984971955e82","AccessRelationship","","","id-718818","id-736146",""
"id-564e350290c54a72b02bb454b272ab1c","AccessRelationship","","","id-718772","id-469480",""
"id-3a36f3b07f4c4f3ca9fe13134f891370","AccessRelationship","","","id-718766","id-479212",""
"id-653e659f3d3e4476b8fde62262a15b38","AccessRelationship","","","id-718379","id-729560",""
"id-2e031cf46b894ca6b065d4bbfc39bc1d","AccessRelationship","","","id-718800","id-723128",""
"id-ce1fefd0cf9447278f2eed6d0623b044","AccessRelationship","","","id-718844","id-736134",""
"id-dcbbeea4cd7b473783b0a6f2102ef397","AccessRelationship","","","id-718331","id-729673",""
"id-c9871147ec3e4f858628534040720c14","AccessRelationship","","","id-736479","id-470221",""
"id-269621bcebe046debac94181091f0112","AccessRelationship","","","id-718738","id-470200",""
"id-5264f09cf1854a0e96171ea52db179fb","AccessRelationship","","","id-718813","id-736152",""
"id-a379c24b2c054f56bcc15ebfcc01eba1","AccessRelationship","","","id-723007","id-475118",""
"id-8e325deeb2944fdd9203d6604ef07a79","AccessRelationship","","","id-736531","id-736081",""
"id-353132d0de4a4520a376d74a56683a77","AccessRelationship","","","id-718796","id-723119",""
"id-e4604bb2d0df4aa4977ba1f20a18a6a6","AccessRelationship","","","id-718828","id-736021",""
"id-55c24017fd23459391ba8775e275f669","AccessRelationship","","","id-736479","id-468924",""
"id-5f4b9bd4d47b48fb92f44c7a37ba17d8","AccessRelationship","","","id-718383","id-729676",""
"id-8e630199f8f64d51b105e65da1cad48b","AccessRelationship","","","id-711339","id-729580",""
"id-3668bdf29c2b4396bf54fa68a58b1d9b","AccessRelationship","","","id-736383","id-18ef892ce1694a7ca242dc2847a3e939",""
"id-a29ecd8d2789440faa27f333beae8a79","AccessRelationship","","","id-718744","id-469299",""
"id-f96a00e4c03f4affa271e43e6dc9dba6","AccessRelationship","","","id-718709","id-7ddde41b83cb49f6b6c05ac5bd440f42",""
"id-d6c34fc9de6b4607bc7a2f6422e4c314","AccessRelationship","","","id-736519","id-736166",""
"id-0c94486519494fb2b255dbc7ba7d725a","AccessRelationship","modification","","id-718829","id-736148",""
"id-cc1ddbc7797340bcbc017f4b12c4d152","AccessRelationship","modification","","id-718768","id-469427",""
"id-da2709a8a25e4486b99cc37d6b6ca07d","AccessRelationship","modification","","id-718749","id-469451",""
"id-f6ab90ac6e2b4f79a20c5b86f777eff0","AccessRelationship","modification","","id-711337","id-729661",""
"id-9fd31262ee4946f39aeb8cf0f26c8bb3","AccessRelationship","modification","","id-718725","id-472136",""
"id-4254a4baa35d4a97a9fafc24564b7044","AccessRelationship","modification","","id-736284","id-469282",""
"id-4daac4e1328d4f9ca54f92a52fd4d7c6","AccessRelationship","modification","","id-718694","id-469676",""
"id-59027ef3cbd54124a5bc1297d3f98218","AccessRelationship","modification","","id-718697","id-729583",""
"id-3f4452b931c54d979f1e0621901a6ded","AccessRelationship","modification","","id-718748","id-469451",""
"id-bbdb902d272541afbd544f40fa5dee06","AccessRelationship","modification","","id-718787","id-469105",""
"id-c202402a2cff4a0494ca502ad7fd57ba","AccessRelationship","modification","","id-736322","id-736172",""
"id-25068948fa4842659a3579eb5dbdcb13","AccessRelationship","modification","","id-718693","id-472136",""
"id-8de473701d3b422ca73e85457abcc55d","AccessRelationship","modification","","id-718729","id-469165",""
"id-99740e1b20c34723ae98d11a6631ffcd","AccessRelationship","modification","","id-718717","id-469274",""
"id-c961ef8c5f7a40039d871b64684ce75a","AccessRelationship","modification","","id-718752","id-469451",""
"id-d67afeb2977641519d8b018212d44f20","AccessRelationship","modification","","id-718812","id-736148",""
"id-4fc181ce3dab4a35a40b149663563555","AccessRelationship","modification","","id-718716","id-472136",""
"id-4498df7614274a15853c44eeba50148e","AccessRelationship","modification","","id-718699","id-729583",""
"id-a2718190aebc42089ef82c181ce516c3","AccessRelationship","modification","","id-718731","id-469165",""
"id-60589b83514c43d7afa60b9135dd7016","AccessRelationship","modification","","id-718695","id-472136",""
"id-300c96e2e8f64253b68aad2c192d7ef1","AccessRelationship","modification","","id-736396","id-475214",""
"id-58e805980eb944c69bef395e802dd2c7","AccessRelationship","modification","","id-718793","id-469105",""
"id-273b21378e124ab2b9c6c62fca215b57","AccessRelationship","modification","","id-718732","id-469105",""
"id-5ededb9aa900400cb029a2cbd0d1bed4","AccessRelationship","modification","","id-718737","id-722918",""
"id-d38c6da9a6b042d1b4811e8f1da07291","AccessRelationship","modification","","id-718701","id-469165",""
"id-1adb851754644e3eb65ce3cab25d73ee","AccessRelationship","modification","","id-718751","id-469451",""
"id-e49a9055d6974fb999f136ecee49c48c","AccessRelationship","modification","","id-736557","id-736176",""
"id-88869fb7a6f6409c853dd3305754c9b5","AccessRelationship","modification","","id-718724","id-469105",""
"id-8541c0e94b1446819b972af78def357b","AccessRelationship","modification","","id-718770","id-469274",""
"id-40b2f2f769bd4db08404e5d59db46158","AccessRelationship","modification","","id-718705","id-469676",""
"id-63826dc47b5e45d8ae0a59e28a8e4724","AccessRelationship","modification","","id-736314","id-736180",""
"id-143120fbe996458496e164eaa11dec63","AssociationRelationship","","","id-5c5e5b36f8c84aec8123a392d72b8728","id-004df98f51294606866af83c7483aaec",""
